DATE,GDP
1/1/2001,6358.586
1/1/2002,6560.931
1/1/2003,6925.805
1/1/2004,7419.964
1/1/2005,8027.936
1/1/2006,8618.908
1/1/2007,9152.523
1/1/2008,9675.62
1/1/2009,9807.426
1/1/2010,10436.722
1/1/2011,10564.161
1/1/2012,10900.584
1/1/2013,11216.885
1/1/2014,11537.726
1/1/2015,12179.082
1/1/2016,12573.855
1/1/2017,13411.045
1/1/2018,14054.307
1/1/2019,14403.538
1/1/2020,14183.665
